,time,open,high,low,close,volume,ticker
882,2021-09-09,11750,12150,11660,11900,9601500,POW
883,2021-09-10,11850,12150,11850,11900,7819800,POW
884,2021-09-13,11900,11950,11660,11660,10403000,POW
885,2021-09-14,11610,11800,11260,11310,15831400,POW
886,2021-09-15,11310,11660,11310,11610,6169800,POW
887,2021-09-16,11660,11700,11460,11610,6024200,POW
888,2021-09-17,11700,11950,11510,11560,15584500,POW
889,2021-09-20,11750,11800,11510,11560,9918000,POW
890,2021-09-21,11410,11560,11310,11460,10082200,POW
891,2021-09-22,11510,11660,11360,11610,9702400,POW
892,2021-09-23,11750,11750,11560,11560,7630800,POW
893,2021-09-24,11610,11610,11410,11410,7779100,POW
894,2021-09-27,11460,11700,11360,11360,9429800,POW
895,2021-09-28,11360,11610,11260,11560,7279400,POW
896,2021-09-29,11560,12200,11560,12000,31387100,POW
897,2021-09-30,12200,12250,11850,11950,9275300,POW
898,2021-10-01,11800,12350,11800,12200,18134400,POW
899,2021-10-04,12450,12900,12450,12650,32008500,POW
900,2021-10-05,12700,12900,12550,12750,22312000,POW
901,2021-10-06,12850,13100,12700,12850,18554500,POW
902,2021-10-07,12850,12850,12600,12650,17101900,POW
903,2021-10-08,12700,12700,12400,12450,18392600,POW
904,2021-10-11,12400,12600,12200,12400,22294500,POW
905,2021-10-12,12400,12700,12400,12700,22139000,POW
906,2021-10-13,12800,12800,12450,12500,15189100,POW
907,2021-10-14,12500,12600,12400,12500,13130000,POW
908,2021-10-15,12500,12600,12200,12300,17266800,POW
